source,target,weight,int
SW-MT2-LT9-02,CORE-MT2.bankmayapada.local,1,Gig 1/0/48
SW-MT2-AUDIT1,CORE-MT2.bankmayapada.local,1,Gig 1/0/48
MYPD-BH-EXT-DIMO,BMDC-MGMT-A3.bankmayapada.local,1,Gig 0
MYPD-BH-EXT-DIMO,BMDC-SW-EXT-OUT.bankmayapada.local,1,Gig 0/1/1
BMDC-F5-ISP-OUT,MikroTik,1,Gig 2/0/4
BMDC-F5-ISP-OUT,MAYAPADA-rt,1,Gig 2/0/7
BMDC-F5-ISP-OUT,BMDC-F5-ISP-OUT.bankmayapada.local,1,Gig 2/0/15
BMDC-F5-ISP-OUT,BMDC-F5-ISP-OUT.bankmayapada.local,1,Gig 1/0/16
BMDC-F5-ISP-OUT,MYPD-LINKNET-IB.bankmayapada.local,1,Gig 2/0/19
BMDC-F5-ISP-OUT,MYPD-LINKNET-IB.bankmayapada.local,1,Gig 2/0/20
BMDC-F5-ISP-OUT,BMDC-RTR-ISP2.bankmayapada.local,1,Gig 1/0/8
BMDC-F5-ISP-OUT,BMDC-SW-DATACENTER.bankmayapada.local,1,Fas 0
BMDRC-EXT-INT-RAK-D7,EFT-DRC-MAYAPADA,1,Gig 1/0/37
BMDRC-EXT-INT-RAK-D7,BANKMAYA-RT,1,Gig 1/0/1
BMDRC-EXT-INT-RAK-D7,RO2-BMI-UPH-TO-DCI,1,Gig 1/0/24
BMDRC-EXT-INT-RAK-D7,RO1-BMI-UPH-TO-NTT,1,Gig 1/0/23
BMDRC-EXT-INT-RAK-D7,BMDRC-RTRH2H01.bankmayapada.com,1,Gig 1/0/40
BMDRC-EXT-INT-RAK-D7,BMDRC-RTRH2H01.bankmayapada.com,1,Gig 1/0/38
BMDRC-EXT-INT-RAK-D7,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,1,Fas 0
BMDC-RTRWAN-03,BMDC-MGMT-A3.bankmayapada.local,1,Gig 0
BMDC-RTRWAN-03,BMDC-EGSW-WAN.bankmayapada.local,1,Gig 0/0/0
MT2-LT10-SW-06,CORE-MT2.bankmayapada.local,1,Gig 1/0/48
BMDRC-SW-EC-DMZ-RAKC6,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,1,Fas 0
CCPL-SW-05,CCPL-CORE-SW.bankmayapada.local,1,Gig 1/0/48
CCPL-SW-05,CCPL-CORE-SW.bankmayapada.local,1,Gig 1/0/47
BMDC-P2P-01,BMDC-MGMT-A3.bankmayapada.local,1,Gig 0
BMDC-P2P-01,MikroTik,1,Gig 0/0/2
BMDC-P2P-01,CCPL-RTR.bankmayapada.local,1,Gig 0/0/2
BMDC-P2P-01,MYPD-SGO.bankmayapada.local,1,Gig 0/0/3
