source,target,weight,int
BMDC-CORE-01,BMDC-EGSW-IC-01,1,Eth1/10
BMDC-CORE-02,BMDC-EGSW-IC-01,1,Eth1/10
BMDC-CORE-01,BMDC-DIST-MT1,1,Eth1/11
BMDC-CORE-02,BMDC-EGSW-EC-01,1,Eth1/11
BMDC-CORE-01,BMDC-CORE-02,1,Eth1/12
BMDC-CORE-02,BMDC-EGSW-EC-01,1,Eth1/12
BMDC-CORE-01,BMDC-CORE-02,1,Eth1/13
BMDC-CORE-02,BMDC-EGSW-EXT-01,1,Eth1/13
BMDC-CORE-01,BMDC-EGSW-WAN,1,Eth1/15
BMDC-CORE-02,BMDC-EGSW-WAN,1,Eth1/15
BMDC-CORE-01,BMDC-OTV-01,1,Eth1/16
BMDC-CORE-02,BMDC-DIST-MT1,1,Eth1/16
BMDC-AGGSVR-01,BMDC-AGGSVR-02,1,Eth1/18
BMDC-AGGSVR-01,BMDC-AGGSVR-02,1,Eth1/20
BMDC-AGGSVR-01,BMDC-ACCSVR-N9K-RAKC1,1,Eth1/21
BMDC-AGGSVR-01,BMDC-AGGSVR-02,1,Eth1/22
BMDC-AGGSVR-01,BMDC-AGGSVR-02,1,Eth1/24
BMDC-AGGSVR-01,BMDC-OTV-01,1,Eth1/28
BMDC-AGGSVR-02,SW-RAKC4-15,1,Eth1/28
BMDC-CORE-01,BMDC-OTV-01,1,Eth1/3
BMDC-CORE-02,BMDC-CORE-01,1,Eth1/3
BMDC-AGGSVR-01,SW-RAKC4-15,1,Eth1/30
BMDC-AGGSVR-02,BMDC-ACCSVR-N9K-RAKC1,1,Eth1/30
BMDC-AGGSVR-02,BMDC-ACCSVR-N9K-RAKD1,1,Eth1/31
BMDC-AGGSVR-01,BMDC-OTV-01,1,Eth1/35
BMDC-AGGSVR-02,BMDC-AGGSVR-01,1,Eth1/35
BMDC-AGGSVR-02,BMDC-AGGSVR-01,1,Eth1/36
BMDC-AGGSVR-02,BMDC-AGGSVR-01,1,Eth1/37
BMDC-AGGSVR-01,BMDC-ACCSVR-N9K-RAKD1,1,Eth1/38
BMDC-AGGSVR-02,BMDC-AGGSVR-01,1,Eth1/38
