No,Local Hostname,Local Interface,Local Platform,Remote Hostname,Remote Interface,Remote Platform,Capability
9,BMDC-CORE-01,Eth1/10,,BMDC-EGSW-IC-01.bankmayapada.local,Gig1/0/23,WS-C3850-24T,R S I
10,BMDC-CORE-02,Eth1/10,,BMDC-EGSW-IC-01.bankmayapada.local,Gig1/0/24,WS-C3850-24T,R S I
9,BMDC-CORE-01,Eth1/11,,BMDC-DIST-MT1.bankmayapada.local,Ten1/1/3,WS-C3850-24T,R S I
10,BMDC-CORE-02,Eth1/11,,BMDC-EGSW-EC-01.bankmayapada.local,Gig1/0/24,WS-C3850-24T,R S I
9,BMDC-CORE-01,Eth1/12,,BMDC-CORE-02.bankmayapada.local(FXS2136Q11W),Eth1/3,N77-C7706,R S I s
10,BMDC-CORE-02,Eth1/12,,BMDC-EGSW-EC-01.bankmayapada.local,Gig2/0/24,WS-C3850-24T,R S I
9,BMDC-CORE-01,Eth1/13,,BMDC-CORE-02.bankmayapada.local(FXS2136Q11W),Eth1/9,N77-C7706,R S I s
10,BMDC-CORE-02,Eth1/13,,BMDC-EGSW-EXT-01.bankmayapada.local,Gig1/0/24,WS-C3850-24T,R S I
9,BMDC-CORE-01,Eth1/15,,BMDC-EGSW-WAN.bankmayapada.local,Gig1/0/23,WS-C3850-24T,R S I
10,BMDC-CORE-02,Eth1/15,,BMDC-EGSW-WAN.bankmayapada.local,Gig1/0/24,WS-C3850-24T,R S I
9,BMDC-CORE-01,Eth1/16,,BMDC-OTV-01.bankmayapada.local(FXS1943Q3EM),Eth1/42,N77-C7706,R S s
10,BMDC-CORE-02,Eth1/16,,BMDC-DIST-MT1.bankmayapada.local,Ten1/1/4,WS-C3850-24T,R S I
3,BMDC-AGGSVR-01,Eth1/18,,BMDC-AGGSVR-02.bankmayapada.local(FXS2136Q11W),Eth1/35,N77-C7706,R S s
3,BMDC-AGGSVR-01,Eth1/20,,BMDC-AGGSVR-02.bankmayapada.local(FXS2136Q11W),Eth1/36,N77-C7706,R S s
3,BMDC-AGGSVR-01,Eth1/21,,BMDC-ACCSVR-N9K-RAKC1(FDO213317J8),Eth1/50,N9K-C93108TC-,R S I s
3,BMDC-AGGSVR-01,Eth1/22,,BMDC-AGGSVR-02.bankmayapada.local(FXS2136Q11W),Eth1/37,N77-C7706,R S I s
3,BMDC-AGGSVR-01,Eth1/24,,BMDC-AGGSVR-02.bankmayapada.local(FXS2136Q11W),Eth1/38,N77-C7706,R S I s
3,BMDC-AGGSVR-01,Eth1/28,,BMDC-OTV-01.bankmayapada.local(FXS1943Q3EM),Eth1/43,N77-C7706,R S I s
4,BMDC-AGGSVR-02,Eth1/28,,SW-RAKC4-15.bankmayapada.local,Gig1/0/48,WS-C2960X-48T,S I
9,BMDC-CORE-01,Eth1/3,,BMDC-OTV-01.bankmayapada.local(FXS1943Q3EM),Eth1/41,N77-C7706,R S s
10,BMDC-CORE-02,Eth1/3,,BMDC-CORE-01.bankmayapada.local(FXS1943Q3EM),Eth1/12,N77-C7706,R S I s
3,BMDC-AGGSVR-01,Eth1/30,,SW-RAKC4-15.bankmayapada.local,Gig1/0/47,WS-C2960X-48T,S I
4,BMDC-AGGSVR-02,Eth1/30,,BMDC-ACCSVR-N9K-RAKC1(FDO213317J8),Eth1/49,N9K-C93108TC-,R S I s
4,BMDC-AGGSVR-02,Eth1/31,,BMDC-ACCSVR-N9K-RAKD1(FDO213317JS),Eth1/50,N9K-C93108TC-,R S I s
3,BMDC-AGGSVR-01,Eth1/35,,BMDC-OTV-01.bankmayapada.local(FXS1943Q3EM),Eth1/44,N77-C7706,R S I s
4,BMDC-AGGSVR-02,Eth1/35,,BMDC-AGGSVR-01.bankmayapada.local(FXS1943Q3EM),Eth1/18,N77-C7706,R S s
4,BMDC-AGGSVR-02,Eth1/36,,BMDC-AGGSVR-01.bankmayapada.local(FXS1943Q3EM),Eth1/20,N77-C7706,R S s
4,BMDC-AGGSVR-02,Eth1/37,,BMDC-AGGSVR-01.bankmayapada.local(FXS1943Q3EM),Eth1/22,N77-C7706,R S I s
3,BMDC-AGGSVR-01,Eth1/38,,BMDC-ACCSVR-N9K-RAKD1(FDO213317JS),Eth1/49,N9K-C93108TC-,R S I s
4,BMDC-AGGSVR-02,Eth1/38,,BMDC-AGGSVR-01.bankmayapada.local(FXS1943Q3EM),Eth1/24,N77-C7706,R S I s
9,BMDC-CORE-01,Eth1/4,,BMDC-EGSW-DEV-01.bankmayapada.local,Gig0/1,WS-C3560-24PS,R S I
3,BMDC-AGGSVR-01,Eth1/40,,BMDC-SW-RAK-D1.bankmayapada.local,Gig1/0/47,WS-C2960X-48T,S I
4,BMDC-AGGSVR-02,Eth1/40,,BMDC-OTV-02.bankmayapada.local(FXS2136Q11W),Eth1/44,N77-C7706,R S I s
26,BMDC-OTV-01,Eth1/41,,BMDC-CORE-01.bankmayapada.local(FXS1943Q3EM),Eth1/3,N77-C7706,R S s
27,BMDC-OTV-02,Eth1/41,,BMDC-CORE-02.bankmayapada.local(FXS2136Q11W),Eth1/5,N77-C7706,R S s
26,BMDC-OTV-01,Eth1/42,,BMDC-CORE-01.bankmayapada.local(FXS1943Q3EM),Eth1/16,N77-C7706,R S s
27,BMDC-OTV-02,Eth1/42,,BMDC-CORE-02.bankmayapada.local(FXS2136Q11W),Eth1/6,N77-C7706,R S s
26,BMDC-OTV-01,Eth1/43,,BMDC-AGGSVR-01.bankmayapada.local(FXS1943Q3EM),Eth1/28,N77-C7706,R S I s
26,BMDC-OTV-01,Eth1/44,,BMDC-AGGSVR-01.bankmayapada.local(FXS1943Q3EM),Eth1/35,N77-C7706,R S I s
27,BMDC-OTV-02,Eth1/44,,BMDC-AGGSVR-02.bankmayapada.local(FXS2136Q11W),Eth1/40,N77-C7706,R S I s
1,BMDC-ACCSVR-N9K-RAKC1,Eth1/49,,BMDC-AGGSVR-02.bankmayapada.local(FXS2136Q11W),Eth1/30,N77-C7706,R S I s
2,BMDC-ACCSVR-N9K-RAKD1,Eth1/49,,BMDC-AGGSVR-01.bankmayapada.local(FXS1943Q3EM),Eth1/38,N77-C7706,R S I s
9,BMDC-CORE-01,Eth1/5,,BMDC-EGSW-EXT-01.bankmayapada.local,Gig1/0/23,WS-C3850-24T,R S I
