No_Hostname,Hostname,No_Inventory,Name,PID,SN
1,xe1,1,Cisco CSR1000V Chassis,CSR1000V,99QQK0GW1PC
2,xe1,2,Cisco CSR1000V Route Processor,CSR1000V,JAB1303001C
3,xe1,3,Cisco CSR1000V Embedded Services Processor,CSR1000V,
1,xr1,1,Cisco IOS-XRv 9000 Centralized Line Card,R-IOSXRV9000-LC-C,06B08130FB9
2,xr1,2,N/A,PORT-1G-NIC,N
3,xr1,3,N/A,PORT-1G-NIC,N
4,xr1,4,N/A,PORT-1G-NIC,N
5,xr1,5,N/A,PORT-1G-NIC,N
6,xr1,6,N/A,PORT-1G-NIC,N
7,xr1,7,N/A,PORT-1G-NIC,N
8,xr1,8,N/A,PORT-1G-NIC,N
9,xr1,9,Cisco IOS-XRv 9000 Centralized Route Processor,R-IOSXRV9000-RP-C,86BBCBE65F1
10,xr1,10,Cisco IOS-XRv 9000 Centralized Virtual Router,R-IOSXRV9000-CC,07DB884D057
1,xe2,1,Cisco CSR1000V Chassis,CSR1000V,93HP7YX6HKX
2,xe2,2,Cisco CSR1000V Route Processor,CSR1000V,JAB1303001C
3,xe2,3,Cisco CSR1000V Embedded Services Processor,CSR1000V,
